 ,P1 (ref),P2,P3,N1,N2,KOMENTÁŘ ÚTRL,vzájemné revize - ukázky
"The allegations were made by WWL's senior vice president Kevin Cassidy and attorneys for the parent company, Entercom. The police department is still working to corroborate the allegations, but have classified the case as possible extortion. In the state of Louisiana, extortion is defined as ""the communication of threats to another with the intention (to) obtain anything of value.""","Obvinění vznesli nejvyšší místopředseda WWL Kevin Cassidy a právníci mateřské společnosti Entercom. Policejní oddělení stále pracuje na prokázání všech obvinění, ale nevyloučilo ani možnost trestného činu vydírání. Ve státě Louisiana je vydírání definováno jako „vyhrožování jinému člověku s úmyslem (získat) něco hodnotného“.","Tato tvrzení pronesl senior viceprezident WWL Kevin Cassidy a zmocněnci pro mateřskou společnost Entercom. Policejní oddělení stále pracuje na prokázání těchto obvinění, ale klasifikovala tento případ jako možné vydírání. Ve státě Louisiana je vydírání definováno jako ""sdělení hrozeb jinému s úmyslem získat něco cenného.""","Obvinění vznesli vrchní viceprezident WWL Kevin Cassidy a advokáti mateřské společnosti Entercom. Policejní oddělení stále pracuje na potvrzení obvinění, ale případ už klasifikovalo jako možné vydírání. Ve státě Louisiana je vydírání definováno jako ""sdělování hrozeb druhé osobě s úmyslem získat něco cenného.""","Obvinění vznesli viceprezident WWL Kevin Cassidy a právníci mateřské společnosti Entercom. Policie stále pracuje na důkazech, ale případ zatím klasifikovala jako vydírání. Ve státě Louisiana je vydírání definováno jako „vyhrožování druhé osobě s úmyslem získat něco cenného“.",,"P1: stroj - závorka zachována na nesmyslném místě

N1: senior vice president - kvůli plynulosti generalizujeme na viceprezident","P1: stroj - závorka zachována na nesmyslném místě

N1: senior vice president - kvůli plynulosti generalizujeme na viceprezident"
,,,,,,,
,,,,,,,
cbsnews.302258,,,,,,,
Prince Harry walks across Angolan minefield to reconnect with Princes Diana's legacy,"Princ Harry se prošel minovým polem v Angole, aby navázal na odkaz princezny Diany","Princ Harry kráčí přes angolské minové pole, aby navázal na odkaz princezny Diany.","Princ Harry se prochází angolským minovým polem, aby navázal na odkaz princezny Diany","Princ Harry přešel minové pole v Angole, aby navázal na odkaz princezny Diany",,orig. překlep Princes (správně Princess),
"It's day six of the Duke of Sussex' royal tour of Africa with his wife Meghan and baby Archie. But Friday morning, Harry returned to Angola alone to reconnect with the legacy of his late mother, Princess Diana.","Je šestý den královského turné vévody ze Sussexu, jeho manželky Meghan a jejich dítěte, syna Archieho. Ale v pátek ráno se Harry vrátil sám do Angoly, aby navázal na odkaz své zesnulé matky, princezny Diany.","Je šestý den královské návštěvy vévody ze Sussexu v Africe s jeho ženou Meghan a synkem Archiem. Ale v pátek ráno se Harry vrátil do Angoly sám, aby navázal na odkaz své zesnulé matky, princezny Diany.","Je šestý den královské cesty vévody ze Sussexu a jeho ženy Meghan a syna Archieho Afrikou. V pátek ráno se ale Harry vrátil sám do Angoly, aby navázal na odkaz své matky, princezny Diany.","Už šestý den pobývá vévoda ze Sussexu společně s manželkou Meghan a synem Archiem na královské návštěvě v Africe. V pátek ráno se však Harry vrátil sám do Angoly, aby navázal na odkaz své zesnulé matky, princezny Diany.",,,
"Diana's legacy was brought full circle when Harry donned the distinctive blue body armor of the HALO Trust. Twenty-two years ago, Diana took a similar path across an Angolan field scattered with deadly landmines, left over from years of civil war. It became one of the most iconic images of her short life.","Když se Harry oblékl do charakteristicky modré ochranné vesty organizace HALO Trust, byl Dianin odkaz naplněn. Před dvaadvaceti lety se Diana vydala na podobnou cestu napříč angolským polem posetým smrtícími nášlapnými minami, které zde zůstaly z doby občanské války. To se stalo jedním z nejznámějších obrazů z jejího krátkého života.","Kruh Dianina odkazu se uzavřel, když Harry oblékl typickou modrou zbroj organizace Halo Trust. Před dvaadvaceti lety Diana podnikla podobnou cestu přes angolské pole poseté nášlapnými minami, zanechanými zde z let občanské války. Stalo se to jedním z nejikoničtějších obrázků z jejího krátkého života.","Kruh Dianina odkazu se uzavřel, když si Harry oblékl výrazně modrou neprůstřelnou vestu charitativní organizace HALO Trust. Před dvaadvaceti lety se Diana vydala podobnou cestou přes angolské pole poseté smrtícími minami, které tu zůstaly od občanské války. Stal se z toho jeden z nejikoničtějších výjevů z jejího krátkého života.","Dianin odkaz byl naplněn, když si Harry oblékl charakteristicky modrou neprůstřelnou vestu organizace HALO Trust. Před dvaadvaceti lety se Diana vydala podobnou cestou napříč angolským polem posetým smrtícími nášlapnými minami, které tu zůstaly z doby občanské války. Stal se z toho jeden z nejznámějších obrazů jejího krátkého života.","Dianin odkaz byl naplněn, když si Harry oblékl charakteristicky modrou neprůstřelnou vestu organizace HALO Trust. Před dvaadvaceti lety se Diana vydala podobnou cestou napříč angolským polem posetým smrtícími nášlapnými minami, které tu zůstaly z doby občanské války. Stal se z toho jeden z nejznámějších snímků pořízených za jejího krátkého života.",,
"Wearing protective body armor and a visor, Diana, Princess of Wales, visits a minefield being cleared by the charity Halo in Huambo, Angola, January 15, 1997.","Diana, princezna z Walesu, v ochranné vestě a obličejovém štítu, navštívila minové pole, které vyčistila charitativní organizace HALO trust v Huambo, Angola, 15. ledna 1997.","V ochranné zbroji a s obličejovým štítem Diana, princezna z Walesu, navštěvuje minové pole, které čistí charitativní organizace Halo v Huambu v Angole, 15. ledna 1997.","Diana, princezna z Walesu, oblečená do ochranné neprůstřelné vesty a masky na návštěvě minového pole vyčištěného charitativní organizací Halo v Huambo v Angole, 15. ledna 1997","Diana, princezna z Walesu, v neprůstřelné vestě a s obličejovým štítem, na návštěvě minového pole v Huambu v Angole, které vyčistila charitativní organizace HALO, 15. ledna 1997.",,"popisek k fotce
",
"She was campaigning to rid the world of this weapon of war, but never lived to see her success, dying just months before an international treaty banned landmines in December 1997.","Snažila se zbavit svět této válečné zbraně, ale nedožila se toho, aby viděla svůj úspěch, zemřela jen několik měsíců předtím, než byly mezinárodní smlouvou z prosince 1997 nášlapné miny zakázané.","Vedla kampaň za zbavení světa této válečné zbraně, ale úspěchu se nedožila, protože zemřela jen pár měsíců předtím, než byly nášlapné miny zakázány mezinárodní smlouvou v prosinci 1997.","Vedla kampaň, aby svět zbavila této válečné zbraně, ale nedožila se svého úspěchu. Zemřela pár měsíců před podepsáním mezinárodní smlouvy v prosinci 1997 zákazující nášlapné miny.","Vedla kampaň za to, aby svět této válečné zbraně zbavila, ale svého úspěchu se nedožila. Zemřela totiž jen několik měsíců před tím, než byly mezinárodní smlouvou z prosince 1997 nášlapné miny zakázány.",,"N1 ""totiž"" dodáno kvůli koherenci",
"Over two decades later, the world is still not free of these devices. And echoing his mother, loud and clear, Prince Harry detonated a recently detected mine.","O více než dvacet let později se na světě stále nacházejí tyto zbraně. A princ Harry, jako hlasitá a jasná ozvěna své matky, odpálil nedávno nalezenou minu.","O více než dvě desetiletí později se svět těchto zařízení stále nezbavil. A jako ozvěnu odkazu své matky, hlasitou a jasnou, princ Harry odpálil právě nalezenou minu.","O dvě desetiletí později se svět stále těchto zařízení nezbavil. Hlasitě a jasně navazujíc na svou matku, princ Harry odpálil nedávno objevenou minu.","O více než dvě desetiletí později se svět těchto zbraní stále nezbavil. A jako vzpomínku na svou matku, hlasitou a jasnou, odpálil princ Harry nedávno nalezenou minu.",,P3 chybný tvar přechodníku,
"""Landmines are an unhealed scar of war,"" Prince Harry said. ""By clearing the landmines we can help this community find peace, and with peace comes opportunity.""","„Nášlapné miny jsou nezdravou jizvou války,“ řekl princ Harry. „Vyčištění od nášlapných min může pomoci této komunitě najít mír, a mír přináší možnosti“.","""Nášlapné miny jsou nezahojená jizva z války,"" řekl princ Harry. ""Odstraněním nášlapných min můžeme pomoci tomuto společenství nalézt mír, a s mírem přichází příležitost.""","""Nášlapné miny jsou válečné nezahojené jizvy,"" řekl princ Harry. ""Odstraněním nášlapných min můžeme pomoct této komunitě najít mír a s mírem přicházejí příležitosti.""","„Nášlapné miny jsou nezahojenou jizvou války,“ prohlásil princ Harry. „Odstraněním nášlapných min můžeme pomoci tomuto společenství nalézt mír. A s mírem přichází příležitost.“",,,
Prince Harry detonated a recently detected mine in Angola.,Princ Harry odpálil nedávno nalezenou minu v Angole.,Princ Harry v Angole odpálil právě nalezenou minu.,Princ Harry v Angole odpálil nedávno nalezenou minu.,Princ Harry v Angole odpálil právě nalezenou minu.,,popisek k fotce,
,,,,,,,
,,,,,,,
chicago_defender.80,,,,,,titulek chybí: MIDWAY BROADCASTING CORPORATION’S CHAIRWOMAN RELEASES NEW BOOK TO HELP WOMEN THRIVE IN MALE-DOMINATED INDUSTRIES,
"Midway Broadcasting announced today that its Chairwoman, Melody Spann Cooper is set to release her highly anticipated book to help female entrepreneurs and executives thrive in business. ""The Girlfriend's Guide To Closing the Deal"" shares insights on how women can use their voice to achieve equity at the negotiating table and advance their careers by using the female edition of the old-boy's network.","Společnost Midway Broadcasting dnes oznámila, že její předsedkyně, Melody Spann Cooperová je připravena vydat svou velmi očekávanou knihu, která má pomoci podnikatelkám a vedoucím pracovnicím v oblasti podnikání prosperovat. Kniha „The Girlfriend's Guide To Closing the Deal“ předává informace o tom, jak mohou ženy využít svého hlasu k dosažení rovnosti u jednacího stolu a postoupit v kariéře pomocí editace sociální sítě Old-boy´s network.","Midway Broadcasting dnes oznámila, že její předsedkyně, Melody Spann Cooperová, je připravena vydat svou napjatě očekávanou knihu, která má pomoci ženám-podnikatelkám a vedoucím rozvíjet jejich podnikání. ""Průvodce dívky uzavíráním obchodů"" sdílí náhled na to, jak mohou ženy použít svůj hlas k tomu, aby dosáhly rovnosti u jednacího stolu a posunout svou kariéru za použití ženské verze ""sítě kamarádů"".","Midway Broadcasting dnes uveřejnilo, že předsedkyně společnosti Melody Spann Cooper je připravena uvést svou velmi očekávanou knihu o pomoci k prosperitě žen ve vedoucích funkcích a podnikatelkám. ""The Girlfriend's Guide To Closing the Deal"" “ příručka přítelkyně, jak uzavírat dohody “ obsahuje postřehy jak mohou ženy využít svůj hlas k dosažení spravedlnosti u vyjednávacího stolu a jak rozvíjet kariéru s využitím ženské verze sítě “starých známých”.","Společnost Midway Broadcasting dnes oznámila, že její ředitelka Melody Spann Cooperová v dohledné době vydá svou dlouho očekávanou knihu, která má pomoci podnikatelkám a ženám ve vedoucích pozicích k úspěchu v podnikání. V knize „The Girlfriend's Guide To Closing the Deal“ (Průvodce dívky uzavíráním obchodů) se autorka s ženami podělí o své zkušenosti s tím, jak mohou využít svého hlasu k dosažení rovnosti u jednacího stolu a svou kariéru úspěšně rozvíjet pomocí ženské verze sítě „starých známých“.","Společnost Midway Broadcasting dnes oznámila, že její šéfka Melody Spann Cooper již brzy vydá svou dlouho očekávanou knihu, která má být rádcem žen podnikatelek a manažerek na cestě za úspěšným podnikáním. Publikace nese název „The Girlfriend's Guide To Closing the Deal“ (Průvodce dívky světem obchodování) a ženy se v ní dozvědí, jak mohou využít svého hlasu k tomu, aby si zajistily rovné postavení u jednacího stolu a svou kariéru mohly úspěšně rozvíjet pomocí ženské verze sítě „starých známých“.","N1, N2: titul knihy zde v závorce překládáme, dál v textu už necháváme jen anglicky","D: titul zde v závorce překládám, dál v textu už nechávám jen anglicky, pokud myslíš, že jiná strategie bude dávat s ohledem na účel větší smysl, nemám problém změnit
D: P1 konec zcela chybně - důkaz stroje, co?
D: old boy network - nevím, jestli má cenu se snažit o nějaký idiomatičtější převod...
V: se vším výše uvedeným souhlasím, co se týče P1 vs. stroje, ano, to je důkaz posteditace bez nahlédnutí do originálu, zcela povrchního čtení, dodání ukecanosti
V: N2: správně dozvědí
V: v obou verzích pozor na uvozovky
V: N2: správně mohly
V: N2: spíš možná zajistily ""rovné"" postavení? to ""rovnější"" se sice občas používá, ale připomíná mi to ""lidé jsou si rovni, někteří jsou si rovnější"", tady bych to spíš nestupňovala"
"Throughout the book, Spann Cooper uses anecdotal references to deal with challenging issues including the #MeToo movement and Hillary Clinton's Presidential defeat and its impact on fueling the female empowerment in America.",V celé knize Spann Cooperová používá neoficiální reference k řešení složitých otázek včetně hnutí #MeToo a porážky Hillary Clintonové v prezidentských volbách a jejího dopadu na posílení postavení amerických žen.,"V celé knize Spann Cooperová používá anekdotické odkazy na to, jak si poradit s náročnými záležitostmi, jako je hnutí #MeToo nebo prážka Hillary Clintonové v prezidentských volbách a její dopad na podporu ženské emancipace v Americe.","V celé knize, Spann Cooper využívá humorné odkazy k vypořádávání se s náročnými problémy včetně hnutí #MeToo či presidentské porážky Hillary Clontonové a jejich dopadu na zesilování vlivu a přebírání odpovědnosti žen v Americe.","V celé knize Spann Cooperová využívá neoficiální příklady k tomu, aby naznačila možná řešení složitých záležitostí včetně hnutí #MeToo a porážky Hillary Clintonové v prezidentských volbách a jejího dopadu na posílení postavení amerických žen.","Na mnoha místech knihy Spann Cooper pomocí neoficiálních příkladů ukazuje možná řešení složitých problémů, k jakým patří hnutí #MeToo či porážka Hillary Clinton v prezidentských volbách včetně jejího dopadu na posílení postavení žen v Americe.",,V: N2: žen v Americe (?)
"The self-published book is the result of a groundbreaking self-entitled speech that Spann Cooper delivered as a keynote address at The National Association of Women Business Owners Conference in Chicago in 2017. The Girlfriend's Guide to Closing The Deal is written in a down-to-earth style that every ""girlfriend"" can relate.","Kniha, kterou publikovala na vlastní náklady, je výsledkem průkopnického projevu, který Spann Cooperová přednesla jako hlavní řeč na konferenci Národní asociace vlastníků žen v Chicagu v roce 2017. Příručka je napsaná v prozaickém stylu, který se může vztahovat na každou „ženu“.","Kniha, kterou autorka sama vydala, je výsledkem průkopnického samozvaného projevu, který Spann Cooperová pronesla jako hlavní myšlenku na konferenci Národní asociace žen-podnikatelek v Chicagu v roce 2017. Průvodce dívky uzavíráním obchodů je napsán věcným stylem, s nímž se každá ""dívka"" může ztotožnit.","Vlastnoručně vydaná kniha je výsledkem průkopnické projevu, který přednesla Spann Cooper na konferenci Národní asicoace podnikajících žen v Chicagu v roce 2017. Kniha: “příručka přítelkyně, jak uzavírat dohody“, je napsaná tak věcně a srozumitelně, že se dotkne skoro každé ženy.","Kniha vychází vlastním nákladem autorky a je výsledkem průkopnického projevu, který Spann Cooperová pronesla jako plenární řečník na konferenci Národní asociace podnikatelek v Chicagu v roce 2017. „The Girlfriend's Guide To Closing the Deal“ je napsán věcným stylem, s nímž se může ztotožnit každá „dívka“.","Kniha vychází vlastním nákladem autorky a je výsledkem průkopnického projevu, který Spann Cooper pronesla coby plenární řečník na konferenci Národní asociace podnikatelek v Chicagu v roce 2017. „The Girlfriend's Guide To Closing the Deal“ je napsán všedním jazykem, který osloví každou „kamarádku“.",P1 vlastníků žen,"P1 vlastníků žen
D: to self-entitled budu muset ještě zkonzultovat, vůbec mi to tam nesedí, self-entitled nebo entitled je negativní, něco jako sebestředný/arogantní, mám podezření, jestli tím nemyslí, že se tak jmenovala i ta její přednáška ""entitled"" totiž znamená i nazvaný; k tomu jsem našel akorát tohle a tam se v 1. netučném odstavci píše, že projev byl na podobné téma...   https://www.lionessesofafrica.com/blog/2020/11/29/the-girlfriends-guide-to-closing-the-deal-by-melody-spann-cooper P1 i P3 to prostě ignorují, asi to uděláme taky :-)
V: hmm, taky mi to tam nesedí, ignorovala bych
V: pozor na uvozovky
V: N2: možná spíš kamarádku (?), nebo nechat dívku v obojím? ta přítelkyně je taková tíživá (možná to ale není pravda, kdyžtak tento můj výkřik ignoruj)
"
"Christie Hefner, businesswoman and daughter of Playboy Founder, Hugh Hefner, says ""The Girlfriend's Guide to Closing The Deal"" is both highly entertaining and very helpful. Melody weaves together personal anecdotes, triumphs, and setbacks with useful lessons learned. From how to own your ideas in a meeting to when its time to ""friend up,"" everyone can benefit from Melody's story.""","Christie Hefnerová, podnikatelka a dcera zakladatele Playboy Hugha Hefnera, řekla, že kniha je velmi zábavná a velmi užitečná. Melody v ní spojuje osobní anekdoty, triumfy a neúspěchy s užitečnými ponaučeními. Z příběhu Melody může těžit každý, od toho, jak mít nápady na schůzce, až do chvíle, kdy je čas „se spřátelit“.","Christie Hefnerová, podnikatelka a dcera zakladatele Playboye Hagha Hefnera, říká, že ""Průvodce dívky uzavíráním obchodů"" je velice zábavný i velmi užitečný. Melody splétá dohromady osobní příhody, vítězství i nezdary s tím, jaké užitečné lekce se naučila. Od toho, jak mít své vlastní myšlenky na mítinku, k tomu, kdy je čas ""skamarádit se"". Všichni mohou těžit z Melodiina příběhu.""","Chrostie Hefner, dcera zakladatele Playboye Hugha Hefnera a podnikatelka o knize říká, že je jednak užitečná a také velmi zábavná. Melody spojuje osobní anekdoty, triumfy a neúspěchy s užitečnými poučeními. Od toho jak vlastnit své myšlenky na schůzce, až k tomu kdy je správný čas na “kamarádskou notu”. Každý si tedy může vytěžit z autorčina vyprávění to své.","Christie Hefnerová, podnikatelka a dcera zakladatele Playboye Hugha Hefnera, říká, že „The Girlfriend's Guide To Closing the Deal“ je velice zábavný i velmi užitečný. Melody splétá dohromady osobní příhody, vítězství i prohry a přidává užitečné poznatky, které si z toho všeho odnesla. Od toho, jak mít na schůzce své vlastní myšlenky, až po to, kdy je čas „skamarádit se“. Z Melodyina příběhu mohou těžit všichni.“","Podle Christie Hefner, podnikatelky a dcery zakladatele časopisu Playboy Hugha Hefnera, je „The Girlfriend's Guide To Closing the Deal“ velice zábavná i užitečná kniha. Melody v ní splétá dohromady osobní příhody, vítězství i nezdary s tím, co užitečného si z toho všeho odnesla. Ať už jde o to, jak na jednání umět prodat vlastní nápady, nebo o to, kdy je čas se „skamarádit“. Z Melodyina příběhu se může poučit úplně každá.“","chyba originálu: its namísto it's
P2, P3 překlepy při přepisu jmen",
"As Chairman of Midway Broadcasting Corporation, she joined an elite list of America's female broadcast owners after purchasing the company's controlling interest in 1999. Midway Broadcasting Corporation is a best-in-class female and family-owned media boutique whose properties include radio and interactive platforms.","Jako předsedkyně Midway Broadcasting Corporation se po koupi hlavního podílu ve společnosti v roce 1999 připojila k elitnímu seznamu amerických majitelek vysílacích stanic. Midway Broadcasting Corporation je nejlepší mediální podnik ve své kategorii, který v sobě zahrnuje rozhlasové a interaktivní platformy.","Jako předsedkyně Midway Broadcasting Corporation se připojila na elitní seznam amerických žen-majitelek médií poté, co koupila většinový podíl společnosti v roce 1999. Midway Broadcasting Corporation je nejlepším mediálním podnikem, který vlastní žena nebo rodina. Jejím vlastnictvím je rádio a interaktivní platformy.","Melody, coby předsedkyně společnosti Midway Broadcasting, je na elitním seznamu vlastníků vysílání v Americe od roku 1999, kdy koupila kontrolní podíl společnosti. Midway Broadcasting corporation je ve své třídě nejlepší rodiný a ženou vlastněný “mediální dům” s portfoliem zahrnujícím i rádio a interakční platformy.",Jako šéfka Midway Broadcasting Corporation se po koupi většinového podílu ve společnosti v roce 1999 ocitla na elitním americkém seznamu majitelek vysílacích stanic. Midway Broadcasting Corporation je nejlepší podnik v kategorii mediálních společností vlastněných ženami či rodinami a do jeho portfolia patří rozhlasové a interaktivní platformy.,V roce 1999 si pořídila většinový podíl v Midway Broadcasting Corporation a jako ředitelka společnosti se tak octla na elitním seznamu majitelek amerických vysílacích stanic. Midway Broadcasting Corporation je nejlepší v kategorii mediálních společností vlastněných ženami či rodinami a do jeho portfolia patří rozhlasové i interaktivní platformy.,,
"The book was co-written with T. Shawn Taylor, journalist, writer and founder of Tree Top Consulting, a full-service media consulting firm.","Kniha byla napsaná společně s T. Shawn Taylorovou, novinářkou, spisovatelkou a zakladatelkou Tree Top Consulting, mediální firmy, která poskytuje kompletní poradenské služby.","Kniha byla napsána ve spolupráci s T. Swan Taylorem, novinářem, spisovatelem a zakladatelem Tree Top Consulting, což je poradenská firma poskytující veškeré služby médiím.","Spoluautorem knihy je T. Shawn Taylor, novinář, spisovatel a zakladatel fulservisové mediálně-konzultační firmy “Tree Top Consulting”.","Spann Cooperová knihu napsala spolu s T. Shawn Taylorovou, novinářkou, spisovatelkou a zakladatelkou společnosti Tree Top Consulting poskytující komplexní poradenské služby médiím.","Spoluautorkou knihy je T. Shawn Taylor, novinářka, spisovatelka a zakladatelka společnosti Tree Top Consulting, která zajišťuje komplexní poradenské služby v oblasti médií.","P2, P3 chybný rod T. Shawn Taylor 
P2 překlep Swan",
,,,,,,,
,,,,,,,
huffingtonpost.com.19371.txt,,,,,,,
Jonathan Van Ness Just Hung Out With Nancy Pelosi And They've Got A Plan,"Jonathan Van Ness se setkal s Nancy Pelosiovou, mají plán",Jonathan Van Ness navázal spolupráci s Nancy Pelosiovou a vymysleli plán,Jonathan Van Ness a Nancy Pelosi si jen tak vyšli a mají plán,Jonathan Van Ness a Nancy Pelosiová si jen tak vyšli a vymysleli plán,Z dostaveníčka Jonathana Van Nesse s Nancy Pelosi vzešel plán,,
"""Queer Eye"" star Jonathan Van Ness strutted his stuff on Capitol Hill on Thursday, joining forces with House Speaker Nancy Pelosi (D-Calif.) to discuss the Equality Act.","Hvězda televizního programu „Queer Eye“ Jonathan Van Ness ve čtvrtek přišel se svými věcmi na Capitol Hill a sešel se s předsedkyní Sněmovny reprezentantů Nancy Pelosiovou (dep.Kalif.), aby společně projednali zákon o rovnosti.","Hvězda pořadu ""Queer Eye"" Johnathan Van Ness ve čtvrtek přinesl svoje záležitosti na Kapitol a spojil síly s mluvčí Sněmovny reprezentantů Nancy Pelosiovou (demokraté, Kalifornie), aby prodiskutovali Zákon o rovnosti.","Hvězda televizní show ""Queer tým"" Jonathan Van Ness si ve čtvrtek vykračoval na Capitol Hill a spojil síly s mluvčí bílého domu Nancy Pelosi (D-Calif.), aby spolu probrali zákon o rovnosti.","Hvězda programu „Queer Eye“ Jonathan Van Ness se ve čtvrtek hrdě vydala na Capitol Hill, kde s předsedkyní Sněmovny reprezentantů Nancy Pelosiovou (demokraté, Kalifornie) probírali zákon o rovnosti.","Hvězda televizního pořadu „Queer Eye“ Jonathan Van Ness ve čtvrtek hrdě nakráčela do sídla amerického Kongresu na Capitol Hill, aby tam s předsedkyní Sněmovny reprezentantů Nancy Pelosi (demokraté, Kalifornie) prodiskutovali připravovaný zákon o rovnosti.","P2 překlep Johnathan
N2 explicitace ""připravovaný"" zákon na základě kontextu","P2 překlep Johnathan
N2 explicitace ""připravovaný"" zákon na základě kontextu"
"The Equality Act would extend nondiscrimination protections to LGBTQ individuals in credit, education, employment, housing, federal financial assistance, jury service and public accommodations.","Zákon o rovnosti by rozšířil ochranu proti diskriminaci pro osoby s menšinovým sexuálním zaměřením v oblasti úvěrů, vzdělávání, zaměstnání, bydlení, federální finanční pomoci, soudnictví a veřejného ubytování.","Zákon o rovnosti by měl rozšířit ochranu proti diskriminaci na LGBTQ jedince, pokud jde o dobré jméno, vzdělání, zaměstnání, bydlení, federální finanční pomoc, činnost porotců a veřejné ubytování.","Zákon o rovnosti by zajišťoval ochranu proti diskriminaci LGBTQ osobám v oblastech kreditu, vzdělání, zaměstnání, bydlení, federální finanční asistence, výkonu poradce a veřejného ubytování.","Zákon o rovnosti by měl rozšířit ochranu proti diskriminaci také na příslušníky sexuálních a genderových menšin, a to v oblasti úvěrů, vzdělávání, zaměstnání, bydlení, federální finanční pomoci, účasti v soudní porotě a služeb.","Zákon o rovnosti by měl rozšířit ochranu proti diskriminaci i na osoby z komunity LGBTQ, konkrétně v oblasti poskytování úvěrů, školství, zaměstnání, bydlení, federální finanční pomoci, rozhodování v soudních porotách a služeb.","P2 credit převedeno chybně jako dobré jméno, P3 nesrozumitelně jako kredit

public accommodations zahrnuje veškeré služby, tj. nejen ubytovací, ale také stravovací, kulturní vyžití (public spaces and commercial services that are available to the general public, such as restaurants, theaters, and hotels)","P2 credit převedeno chybně jako dobré jméno, P3 nesrozumitelně jako kredit

public accommodations zahrnuje veškeré služby, tj. nejen ubytovací, ale také stravovací, kulturní vyžití (public spaces and commercial services that are available to the general public, such as restaurants, theaters, and hotels)
V: N1: překlep ""účast"" (?)"
The bill would amend the Civil Rights Act of 1964 to include sexual orientation and gender identity to the list of already protected classes.,"Návrh zákona by pozměnil původní zákon o občanských právech z roku 1964 v tom smyslu, že by zahrnoval také sexuální orientaci a genderovou identitu do seznamu již chráněných kategorií.","Návrh zákona by měl doplnit Zákon o občanských právech z roku 1964 tak, aby zahrnoval sexuální orientaci a genderovou identitu na seznam už chráněných tříd.","Zákon by upravil zákon o občanských právech z roku 1964 tak, aby zahrnul sexuální orientaci a genderovou identitu k seznamu chráněných skupin.","Pokud bude návrh zákona schválen, doplní stávající zákon o občanských právech z roku 1964 v tom smyslu, že na seznam již chráněných skupin obyvatelstva přibude i kategorie sexuální orientace a genderová identita.",,"P1 vazba zahrnovat do seznamu
P2 vazba zahrnovat na seznam
P3 vazba zahrnout k seznamu",
"Van Ness, who recently publicly came out as HIV positive, first shared a video of himself cat-walking in the Capitol, explaining in his caption that he'd met with the House speaker to talk Equality Act, living with HIV and access to PrEP (an HIV preventative medication):","Van Ness, který nedávno veřejně přiznal, že je HIV pozitivní, se nejprve podělil o video své kočky, jak chodí po Capitolu, kde v titulku vysvětlil, že se setkal s mluvčí Bílého domu, aby prodiskutovali zákon o rovnosti, život s HIV a přístup k PrEP (léky na prevenci proti HIV):","Van Ness, který nedávno veřejně přiznal, že je HIV pozitivní, nejprve zveřejnil své video, jak kráčí po Kapitolu a vysvětluje v komentáři, že se setkal s mluvčí Sněmovny reprezentantů, aby s ní prodiskutoval Zákon o rovnosti, život s HIV a přístup k PrEP (preventivní léčba HIV):","Van Ness, který nedávno veřejně informoval o tom, že je HIV pozitivní, nejdříve sdílel video sebe chodícího na molu v Capitolu, kde v popisku vysvětlil, že se sešel s mluvčí Bílého domu, aby probrali zákon o rovnosti, život s HIV a přístup PrEP (preventivní lék proti HIV):","Van Ness, který nedávno veřejně přiznal, že je HIV pozitivní, se nejprve podělil o video, na němž si vykračuje po budově Kapitolu. V titulku přitom vysvětlil, že se právě setkal s předsedkyní Sněmovny reprezentantů, s níž hovořil o připravovaném zákonu o rovnosti, životě s HIV a dostupnosti PrEP (léky na prevenci proti HIV):",,"P1, P2, P3: speaker chybně převedeno jako mluvčí
P1, P3: House chybně interpretováno jako Bílý dům","P1, P2, P3: speaker chybně převedeno jako mluvčí
P1, P3: House chybně interpretováno jako Bílý dům"
